time(ms);RPM(1/min);MAP(kPa);IAT2(°C);TP_REL(%);FRP(kPa);SHRTFT1(%);SHRTFT2(%);LOAD(%);TCBP_DSD(kPa);WGATE_PRES(kPa);FUELSYS_A_PCTB1(%);FUELSYS_B_PCTB1(%)
0;616;-;-;-;-;-;-;-;-;-;-;-
0;616;61.0;-;-;-;-;-;-;-;-;-;-
10;617;61.0;53;-;-;-;-;-;-;-;-;-
24;617;61.0;53;3.92;-;-;-;-;-;-;-;-
41;618;61.0;53;3.92;10000.0;-;-;-;-;-;-;-
52;618;61.0;53;3.92;10000.0;2.34;-;-;-;-;-;-
60;619;61.0;53;3.92;10000.0;2.34;-0.78;-;-;-;-;-
68;619;62.0;53;3.92;10000.0;2.34;-0.78;51.37;-;-;-;-
82;620;62.0;53;3.92;10000.0;1.56;-0.78;51.37;98.9;-;-;-
91;620;62.0;53;3.53;10000.0;1.56;-0.78;51.37;98.9;98.0;-;-
100;621;62.0;53;3.53;10000.0;1.56;-0.78;51.37;98.9;98.0;0.00;100.00
117;621;62.0;53;3.53;10000.0;1.56;-0.78;51.37;98.9;98.0;0.00;100.00
132;621;62.0;53;3.53;10000.0;1.56;-0.78;51.37;98.9;98.0;0.00;100.00
141;621;62.0;53;3.53;10000.0;1.56;-0.78;51.37;98.9;98.0;0.00;100.00
150;621;62.0;53;3.53;10000.0;0.78;-0.78;51.37;98.9;98.0;0.00;100.00
161;621;62.0;53;3.53;10000.0;0.78;-0.78;51.37;98.9;98.0;0.00;100.00
170;621;62.0;53;3.53;10000.0;0.78;-0.78;51.37;98.9;98.0;0.00;100.00
181;621;62.0;53;3.53;10010.0;0.78;-0.78;51.37;98.9;98.0;0.00;100.00
190;621;61.0;53;3.53;10010.0;0.78;-0.78;51.37;98.9;98.0;0.00;100.00
201;621;61.0;53;3.53;10010.0;0.78;-0.78;51.37;98.9;98.0;0.00;100.00
213;621;61.0;53;3.53;10020.0;0.78;-0.78;51.37;98.9;98.0;0.00;100.00
229;621;61.0;53;3.53;10020.0;0.78;-0.78;51.37;98.9;98.0;0.00;100.00
248;621;61.0;53;3.53;10030.0;0.78;-0.78;51.37;98.9;98.0;0.00;100.00
260;621;61.0;53;3.53;10030.0;0.78;-1.56;51.37;98.9;98.0;0.00;100.00
268;621;61.0;53;3.53;10030.0;0.78;-1.56;51.37;98.9;98.0;0.00;100.00
278;620;61.0;53;3.53;10040.0;0.78;-1.56;51.37;98.9;98.0;0.00;100.00
