time(ms);RPM(1/min);IAT2(°C);SHRTFT1(%);SHRTFT2(%);LOAD(%);ECT(°C)
1431;623;40;-3.91;-3.91;24.71;83
1441;622;40;-3.91;-3.91;24.71;83
1453;622;40;-3.91;-3.91;24.71;83
1462;622;40;-3.91;-3.91;24.71;83
1472;622;40;-3.91;-3.91;24.71;83
1483;623;40;-3.91;-3.91;24.71;83
1493;623;40;-3.91;-3.91;24.71;83
1501;624;40;-3.91;-3.91;24.71;83
1512;624;40;-3.91;-3.91;24.71;83
1522;625;40;-3.91;-3.91;24.71;83
1533;624;40;-3.91;-3.91;24.71;83
1543;624;40;-3.91;-3.91;24.71;83
1552;623;40;-3.91;-3.91;24.71;83
1563;622;40;-3.91;-3.91;24.71;83
1572;622;40;-3.91;-3.91;24.71;83
1586;621;40;-3.91;-3.91;24.71;83
1601;621;40;-3.91;-3.91;24.71;83
1613;621;40;-3.91;-3.91;24.71;83
1621;621;40;-3.91;-3.91;24.71;83
1632;621;40;-3.91;-3.91;24.71;83
1641;621;40;-3.13;-3.91;24.71;83
1653;621;40;-3.13;-3.13;24.71;83
1664;622;40;-3.13;-3.13;24.71;83
1672;623;40;-3.13;-3.13;24.71;83
1684;624;40;-3.13;-3.13;24.71;83
1691;624;40;-3.13;-3.13;24.71;83
1703;625;40;-3.13;-3.13;24.71;83
1710;626;40;-3.13;-3.13;24.71;83
1722;625;40;-3.13;-3.13;24.71;83
1733;623;40;-3.13;-3.13;24.71;83
1743;622;40;-3.13;-3.13;24.71;83
1752;621;40;-3.13;-3.13;24.71;83
1762;619;40;-3.13;-3.13;24.71;83
1770;618;40;-3.13;-3.91;24.71;83
1785;617;40;-3.13;-3.91;24.71;83
1801;616;40;-3.13;-3.91;24.71;83
1812;615;40;-3.13;-3.91;24.71;83
1823;614;40;-3.13;-3.91;24.71;83
1832;613;40;-3.13;-3.91;24.71;83
1840;612;40;-3.13;-3.91;24.71;83
1851;613;40;-3.13;-3.91;24.71;83
1862;614;40;-3.13;-3.91;24.71;83
1871;615;40;-3.13;-3.91;24.71;83
1881;616;40;-3.13;-3.91;24.71;83
1892;617;40;-3.13;-3.91;24.71;83
1901;618;40;-3.13;-3.91;24.71;83
1912;618;40;-3.13;-3.91;24.71;83
1923;618;40;-3.13;-3.91;24.71;83
1931;618;40;-3.13;-3.91;24.71;83
1942;618;40;-3.13;-3.91;24.71;83
1952;618;40;-3.13;-3.91;24.71;83
1962;618;40;-3.13;-3.91;24.71;83
1973;618;40;-3.13;-3.91;24.71;83
1983;617;40;-3.13;-3.91;24.71;83
1993;617;40;-3.13;-3.91;24.71;83
2004;617;40;-3.13;-3.91;24.71;83
2012;616;40;-3.13;-3.91;24.71;83
